description,rating,number_of_lists,number_of_watches,number_of_likes,number_of_fans,name_of_director,film_name
"Seasoned musician Jackson Maine discovers — and falls in love with — struggling artist Ally. She has just about given up on her dream to make it big as a singer — until Jack coaxes her into the spotlight. But even as Ally’s career takes off, the personal side of their relationship is breaking down, as Jack fights an ongoing battle with his own internal demons.",3.6,154K,1.6M,354K,6K FANS,Bradley Cooper,a-star-is-born-2018
"THE UNTOLD TRUE STORY THAT CHANGED THE COURSE OF HISTORY.
George W. Bush picks Dick Cheney, the CEO of Halliburton Co., to be his Republican running mate in the 2000 presidential election. No stranger to politics, Cheney’s impressive résumé includes stints as White House chief of staff, House Minority Whip and Defense Secretary. When Bush wins by a narrow margin, Cheney begins to use his newfound power to help reshape the country and the world.",3.5,60K,390K,71K,560 FANS,Adam McKay,vice-2018
"ACT LIKE YOU OWN THE PLACE.
All unemployed, Ki-taek’s family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",4.5,742K,5.8M,3.1M,144K FANS,Bong Joon Ho,parasite-2019
"THEY TOOK THE AMERICAN DREAM FOR A RIDE
American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.",4.0,152K,1.2M,373K,13K FANS,James Mangold,ford-v-ferrari-2019
"HIS STORY CHANGED HISTORY.
Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years.",3.9,211K,1.2M,322K,6.5K FANS,Martin Scorsese,the-irishman-2019
"AN ANTI-HATE SATIRE.
Jojo, a lonely German boy during World War II has his world shaken when he learns that his single mother is hiding a Jewish girl in their home. Influenced by a buffoonish imaginary version of Adolf Hitler, he begins to question his beliefs and confront the conflict between propaganda and his own humanity.",4.0,289K,2.7M,1M,28K FANS,Taika Waititi,jojo-rabbit-2019
"PUT ON A HAPPY FACE.
During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",3.8,382K,5.6M,2.1M,30K FANS,Todd Phillips,joker-2019
"OWN YOUR STORY
Four sisters come of age in America in the aftermath of the Civil War.",4.2,523K,3.2M,1.4M,181K FANS,Greta Gerwig,little-women-2019
"WHERE THERE’S A LOVE, THERE’S A WAY.
A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes.",4.0,231K,1.8M,578K,11K FANS,Noah Baumbach,marriage-story-2019
"TIME IS THE ENEMY.
At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",4.1,260K,2.3M,786K,18K FANS,Sam Mendes,1917-2019
"IN THIS TOWN, IT CAN ALL CHANGE… LIKE THAT.
Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski…",3.8,456K,3.7M,1.2M,33K FANS,Quentin Tarantino,once-upon-a-time-in-hollywood-2019
"SEE YOU DOWN THE ROAD.
A woman in her sixties embarks on a journey through the western United States after losing everything in the Great Recession, living as a van-dwelling modern-day nomad.",3.8,147K,680K,175K,3.1K FANS,Chloé Zhao,nomadland-2020
"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",4.3,117K,495K,161K,2.9K FANS,Florian Zeller,the-father-2020
"YOU CAN KILL A REVOLUTIONARY BUT YOU CAN’T KILL THE REVOLUTION.
Bill O’Neal infiltrates the Black Panthers on the orders of FBI Agent Mitchell and J. Edgar Hoover. As Black Panther Chairman Fred Hampton ascends—falling for a fellow revolutionary en route—a battle wages for O’Neal’s soul.",4.0,95K,412K,128K,1.2K FANS,Shaka King,judas-and-the-black-messiah-2020
1930s Hollywood is reevaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane.,3.3,92K,282K,48K,96 FANS,David Fincher,mank-2020
"A Korean American family moves to an Arkansas farm in search of its own American dream. Amidst the challenges of this new life in the strange and rugged Ozarks, they discover the undeniable resilience of family and what really makes a home.",4.1,148K,631K,210K,4.4K FANS,Lee Isaac Chung,minari-2020
"REVENGE NEVER LOOKED SO PROMISING.
A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",3.7,163K,968K,276K,7.3K FANS,Emerald Fennell,promising-young-woman-2020
"MUSIC WAS HIS WORLD. THEN SILENCE REVEALED A NEW ONE.
Metal drummer Ruben begins to lose his hearing. When a doctor tells him his condition will worsen, he thinks his career and life is over. His girlfriend Lou checks the former addict into a rehab for the deaf hoping it will prevent a relapse and help him adapt to his new life. After being welcomed and accepted just as he is, Ruben must choose between his new normal and the life he once knew.",4.2,176K,943K,361K,18K FANS,Darius Marder,sound-of-metal-2020
"IN 1968, DEMOCRACY REFUSED TO BACK DOWN.
What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.",3.8,82K,549K,132K,1.8K FANS,Aaron Sorkin,the-trial-of-the-chicago-7-2020
"EVERY FAMILY HAS ITS OWN LANGUAGE.
As a CODA (Child of Deaf Adults), Ruby is the only hearing person in her deaf family. When the family’s fishing business is threatened, Ruby finds herself torn between pursuing her love of music and her fear of abandoning her parents.",3.9,116K,503K,155K,2.8K FANS,Sian Heder,coda-2021
"NO MATTER HOW FAR YOU GO, YOU NEVER FORGET WHERE YOU CAME FROM.
Buddy is a young boy on the cusp of adolescence, whose life is filled with familial love, childhood hijinks, and a blossoming romance. Yet, with his beloved hometown caught up in increasing turmoil, his family faces a momentous choice: hope the conflict will pass or leave everything they know behind for a new life.",3.5,73K,292K,62K,471 FANS,Kenneth Branagh,belfast-2021
"BASED ON TRULY POSSIBLE EVENTS.
Two astronomers go on a media tour to warn humankind of a planet-killing comet hurtling toward Earth. The response from a distracted world: Meh.",3.0,168K,3M,587K,2.1K FANS,Adam McKay,dont-look-up-2021
"GO ON LIVING.
Yusuke Kafuku, a stage actor and director, still unable, after two years, to cope with the loss of his beloved wife, accepts to direct Uncle Vanya at a theater festival in Hiroshima. There he meets Misaki, an introverted young woman, appointed to drive his car. In between rides, secrets from the past and heartfelt confessions will be unveiled.",4.2,148K,449K,168K,10K FANS,Ryūsuke Hamaguchi,drive-my-car-2021
"IT BEGINS.
Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet’s exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity’s greatest potential-only those who can conquer their fear will survive.",3.9,449K,4.5M,1.6M,32K FANS,Denis Villeneuve,dune-2021
"VENUS, SERENA AND A PLAN FOR GREATNESS.
The story of how Richard Williams served as a coach to his daughters Venus and Serena, who will soon become two of the most legendary tennis players in history.",3.7,75K,403K,92K,409 FANS,Reinaldo Marcus Green,king-richard-2021
"The story of Gary Valentine and Alana Kane growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.",3.6,206K,933K,244K,3.3K FANS,Paul Thomas Anderson,licorice-pizza-2021
"MAN OR BEAST.
An ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychologist who is even more dangerous than he is.",3.4,104K,487K,103K,433 FANS,Guillermo del Toro,nightmare-alley-2021
"A domineering but charismatic rancher wages a war of intimidation on his brother’s new wife and her teen son, until long-hidden secrets come to light.",3.7,133K,640K,148K,1.1K FANS,Jane Campion,the-power-of-the-dog-2021
"A CITY DIVIDED. THEIR LOVE WILL CHALLENGE EVERYTHING.
Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",3.6,152K,607K,153K,4.2K FANS,Steven Spielberg,west-side-story-2021
"THE UNIVERSE IS SO MUCH BIGGER THAN YOU REALIZE.
An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what’s important to her by connecting with the lives she could have led in other universes.",4.3,646K,4.3M,2.1M,183K FANS,"Daniel Scheinert, Daniel Kwan",everything-everywhere-all-at-once-2022
"Paul Baumer and his friends Albert and Muller, egged on by romantic dreams of heroism, voluntarily enlist in the German army. Full of excitement and patriotic fervour, the boys enthusiastically march into a war they believe in. But once on the Western Front, they discover the soul-destroying horror of World War I.",4.1,170K,1.2M,350K,13K FANS,Edward Berger,all-quiet-on-the-western-front-2022
"RETURN TO PANDORA.
Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",3.6,247K,2.6M,726K,12K FANS,James Cameron,avatar-the-way-of-water-2022
"EVERYTHING WAS FINE YESTERDAY.
Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.",4.1,273K,1.4M,487K,18K FANS,Martin McDonagh,the-banshees-of-inisherin-2022
"THE MAN. THE LEGEND. THE KING OF ROCK & ROLL.
The life story of Elvis Presley as seen through the complicated relationship with his enigmatic manager, Colonel Tom Parker.",3.4,175K,1.3M,298K,5.8K FANS,Baz Luhrmann,elvis-2022
"CAPTURE EVERY MOMENT.
Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth.",4.0,207K,678K,232K,4K FANS,Steven Spielberg,the-fabelmans-2022
"OBLITERATE YOURSELF.
As celebrated conductor Lydia Tár starts rehearsals for a career-defining symphony, the consequences of her past choices begin to echo in the present.",3.9,194K,735K,221K,5.8K FANS,Todd Field,tar-2022
"FEEL THE NEED… THE NEED FOR SPEED.
After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",4.0,312K,2.5M,824K,23K FANS,Joseph Kosinski,top-gun-maverick-2022
"A celebrity model couple are invited on a luxury cruise for the uber-rich, helmed by an unhinged, alcoholic captain. What first appears Instagrammable ends catastrophically, leaving the survivors stranded on a desert island in a struggle of hierarchy.",3.7,170K,1M,269K,4.6K FANS,Ruben Östlund,triangle-of-sadness-2022
